genre,url
"[Strategy, Real-Time, Military, Military, Tactics]",men-of-war-assault-squad
"[Strategy, Real-Time, Military, General, Military]",men-of-war-assault-squad-2
"[Strategy, Real-Time, General, General, Tactics]",men-of-war-condemned-heroes
"[Strategy, Real-Time, Historic, General, Historic]",men-of-war-red-tide
"[Strategy, Real-Time, Military, General, Military]",men-of-war-vietnam
"[Action Adventure, Modern, Modern, Open-World]",mercenaries-2-world-in-flames
"[General, Action, General, Shooter, Scrolling, Shoot-'Em-Up, Vertical, Horizontal]",mercenary-kings
"[Strategy, General, General]",merchant-prince-ii
"[Strategy, Real-Time, Sci-Fi, Command]",meridian-new-world
"[Strategy, Real-Time, Tactics, Command]",meridian-squad-22
"[Adventure, General, General, Point-and-Click]",metal-dead
"[Strategy, Real-Time, General, General]",metal-fatigue
"[Action, Action Adventure, Shooter, General, Modern, Third-Person, Tactical, Modern]",metal-gear-rising-revengeance
"[Action Adventure, Modern, General, Modern]",metal-gear-solid
"[Action Adventure, Modern, General, Modern]",metal-gear-solid-2-substance
"[Action Adventure, General, Modern, Open-World]",metal-gear-solid-v-ground-zeroes
